Servana — Phase 8 permission matrix (seeded §10.3). ✓ = default grant.

permission                            merchant_adm  branch_manag  hr  finance  front_office  personnel  audit  super_admin
--------------------------------------------------------------------------------------------------------------------------
audit.flag                            ·            ·            ·            ·            ·            ·            ✓           ·
audit.view_full                       ✓           ✓           ✓           ✓           ·            ·            ✓           ·
branch.calendar.manage                ·            ✓           ·            ·            ·            ·            ·            ·
branch.dashboard.view                 ·            ✓           ·            ·            ·            ·            ·            ·
branch.profile.manage                 ·            ✓           ·            ·            ·            ·            ·            ·
cashup.submit                         ·            ✓           ·            ·            ·            ·            ·            ·
day.open_close                        ·            ✓           ·            ·            ·            ·            ·            ·
service.archive                       ·            ✓           ·            ·            ·            ·            ·            ·
service.create                        ·            ✓           ·            ·            ·            ·            ·            ·
service.update                        ·            ✓           ·            ·            ·            ·            ·            ·
service.view                          ·            ✓           ·            ·            ·            ·            ·            ·
client.create                         ·            ·            ·            ·            ✓           ·            ·            ·
client.update                         ·            ·            ·            ·            ✓           ·            ·            ·
client.view                           ·            ·            ·            ·            ✓           ·            ·            ·
cashup.review_approve                 ·            ·            ·            ✓           ·            ·            ·            ·
commissions.view                      ✓           ✓           ✓           ·            ·            ✓           ✓           ·
disputes.manage                       ·            ·            ·            ✓           ·            ·            ·            ·
invoice.adjustment.manage             ·            ·            ·            ✓           ·            ·            ·            ·
invoice.create                        ·            ·            ·            ·            ✓           ·            ·            ·
invoice.view                          ·            ·            ·            ✓           ✓           ·            ·            ·
invoice.void.request_or_execute_as_policy·            ·            ·            ✓           ·            ·            ·            ·
payments.edit_reference               ·            ·            ·            ·            ·            ·            ·            ·
payments.override_duplicate           ·            ·            ·            ·            ·            ·            ·            ·
payments.record                       ·            ·            ·            ✓           ✓           ·            ·            ·
payments.reject                       ·            ·            ·            ✓           ·            ·            ·            ·
payments.validate                     ·            ·            ·            ✓           ·            ·            ·            ·
periods.reopen                        ·            ·            ·            ·            ·            ·            ·            ·
platform_fees.dispute                 ·            ·            ·            ✓           ·            ·            ·            ·
platform_fees.view                    ✓           ✓           ·            ·            ·            ·            ✓           ·
receipts.reissue                      ·            ·            ·            ·            ·            ·            ·            ·
receipts.view                         ✓           ✓           ·            ✓           ✓           ✓           ✓           ·
refunds.approve                       ·            ·            ·            ·            ·            ·            ·            ·
refunds.request                       ·            ·            ·            ✓           ·            ·            ·            ·
front_office.search                   ·            ·            ·            ·            ✓           ·            ·            ·
branches.create                       ✓           ·            ·            ·            ·            ·            ·            ·
branches.manage_users_lifecycle       ✓           ·            ·            ·            ·            ·            ·            ·
merchant.profile.manage               ✓           ·            ·            ·            ·            ·            ·            ·
merchant.tier.update                  ✓           ·            ·            ·            ·            ·            ·            ·
periods.lock                          ✓           ·            ·            ·            ·            ·            ·            ·
service_session.cancel                ·            ·            ·            ·            ✓           ·            ·            ·
service_session.complete              ·            ·            ·            ·            ✓           ·            ·            ·
service_session.start                 ·            ·            ·            ·            ✓           ·            ·            ·
service_session.view                  ·            ·            ·            ·            ✓           ·            ·            ·
personnel.my_appointments.view        ·            ·            ·            ·            ·            ✓           ·            ·
personnel.my_queue.view               ·            ·            ·            ·            ·            ✓           ·            ·
personnel.my_sessions.view            ·            ·            ·            ·            ·            ✓           ·            ·
platform.audit.view                   ·            ·            ·            ·            ·            ·            ·            ✓
platform.billing.configure            ·            ·            ·            ·            ·            ·            ·            ✓
platform.fee_rules.manage             ·            ·            ·            ·            ·            ·            ·            ✓
platform.merchants.govern             ·            ·            ·            ·            ·            ·            ·            ✓
platform.settings.manage              ·            ·            ·            ·            ·            ·            ·            ✓
preferred_personnel.select            ·            ·            ·            ·            ✓           ·            ·            ·
queue.assign                          ·            ·            ·            ·            ✓           ·            ·            ·
queue.create                          ·            ·            ·            ·            ✓           ·            ·            ·
queue.reorder                         ·            ·            ·            ·            ✓           ·            ·            ·
queue.transfer                        ·            ·            ·            ·            ✓           ·            ·            ·
queue.view                            ·            ·            ·            ·            ✓           ·            ·            ·
exports.finance                       ·            ·            ·            ·            ·            ·            ·            ·
exports.staff_roster                  ·            ·            ✓           ·            ·            ·            ·            ·
reports.view                          ✓           ✓           ✓           ✓           ✓           ✓           ✓           ·
appointment.assign                    ·            ·            ·            ·            ✓           ·            ·            ·
appointment.cancel                    ·            ·            ·            ·            ✓           ·            ·            ·
appointment.check_in                  ·            ·            ·            ·            ✓           ·            ·            ·
appointment.create                    ·            ·            ·            ·            ✓           ·            ·            ·
appointment.reschedule                ·            ·            ·            ·            ✓           ·            ·            ·
appointment.transfer                  ·            ·            ·            ·            ✓           ·            ·            ·
appointment.view                      ·            ·            ·            ·            ✓           ·            ·            ·
commissions.manage                    ·            ·            ✓           ·            ·            ·            ·            ·
personnel.availability.manage         ·            ·            ✓           ·            ·            ·            ·            ·
personnel.eligibility.manage          ·            ·            ✓           ·            ·            ·            ·            ·
staff.edit                            ·            ·            ✓           ·            ·            ·            ·            ·
staff.invite                          ·            ·            ✓           ·            ·            ·            ·            ·
staff.suspend                         ·            ·            ✓           ·            ·            ·            ·            ·
